Episode,Reward,Steps,Completed,Deadlock
84,-438.6500000000022,500,False,False
85,-120.24999999999999,45,False,True
86,-91.45,15,False,True
87,-434.7500000000021,500,False,False
88,76.95,40,True,False
89,91.55,21,True,False
90,-487.40000000000214,500,False,False
91,-452.3000000000022,500,False,False
92,-87.35,11,False,True
93,79.05000000000001,37,True,False
94,-487.40000000000214,500,False,False
95,-126.14999999999999,46,False,True
96,-440.600000000002,500,False,False
97,103.45,17,True,False
98,-538.1000000000021,500,False,False
99,-471.8000000000021,500,False,False
100,82.85,39,True,False
101,-454.25000000000233,500,False,False
102,-102.05000000000001,32,False,True
103,99.65,15,True,False
104,-464.0000000000024,500,False,False
105,86.24999999999999,49,True,False
106,-114.15,40,False,True
107,-448.4000000000021,500,False,False
108,-471.8000000000019,500,False,False
109,-448.40000000000225,500,False,False
110,75.15,37,True,False
111,-85.55,14,False,True
112,66.05000000000001,63,True,False
113,-454.2500000000024,500,False,False
114,-456.20000000000215,500,False,False
115,71.05000000000003,41,True,False
116,-489.3500000000023,500,False,False
117,96.64999999999999,36,True,False
118,-87.35,11,False,True
119,-430.8500000000018,500,False,False
120,-458.15000000000225,500,False,False
121,92.75,36,True,False
122,-510.8000000000024,500,False,False
123,-125.84999999999998,40,False,True
124,-467.9000000000021,500,False,False
125,-454.2500000000021,500,False,False
126,109.75,8,True,False
127,-450.350000000002,500,False,False
128,19.050000000000082,106,True,False
129,77.65,26,True,False
130,-85.35,10,False,True
131,-93.45,16,False,True
132,-473.75000000000216,500,False,False
133,81.55000000000001,26,True,False
134,-432.8000000000023,500,False,False
135,-506.90000000000197,500,False,False
136,56.350000000000044,62,True,False
137,-423.0500000000024,500,False,False
138,79.05,37,True,False
139,103.55000000000001,15,True,False
140,-481.55000000000206,500,False,False
141,-450.35000000000235,500,False,False
142,-108.55000000000001,45,False,True
143,-477.650000000002,500,False,False
144,-462.0500000000018,500,False,False
145,99.45,19,True,False
146,-491.3000000000016,500,False,False
147,107.55,13,True,False
148,-452.3000000000021,500,False,False
149,-479.6000000000022,500,False,False
150,-444.500000000002,500,False,False
151,-510.800000000002,500,False,False
152,-438.65000000000197,500,False,False
153,111.65,9,True,False
154,103.45,17,True,False
155,-479.6000000000021,500,False,False
156,-83.45,11,False,True
157,105.25,20,True,False
158,-530.300000000002,500,False,False
159,95.35,23,True,False
160,-442.55000000000217,500,False,False
161,-483.50000000000216,500,False,False
162,107.35000000000001,17,True,False
163,-464.000000000002,500,False,False
164,-481.55000000000194,500,False,False
165,-462.05000000000246,500,False,False
166,105.25,20,True,False
167,-83.25,7,False,True
168,-464.00000000000205,500,False,False
169,-446.45000000000215,500,False,False
170,-102.15,34,False,True
171,-467.900000000002,500,False,False
172,-458.1500000000021,500,False,False
173,-91.25,11,False,True
174,-487.4000000000025,500,False,False
175,109.55,12,True,False
176,-97.35,16,False,True
177,-128.64999999999998,57,False,True
178,78.65,45,True,False
179,58.35000000000004,61,True,False
180,-487.40000000000225,500,False,False
181,101.35,20,True,False
182,-444.5000000000026,500,False,False
183,105.55000000000001,14,True,False
184,102.94999999999999,27,True,False
185,-491.30000000000206,500,False,False
186,-444.50000000000216,500,False,False
187,-85.35,10,False,True
188,-460.1000000000024,500,False,False
189,103.35,19,True,False
190,81.25,32,True,False
191,-83.45,11,False,True
192,-481.5500000000019,500,False,False
193,97.35,22,True,False
194,56.050000000000054,68,True,False
195,-127.95,43,False,True
196,67.15,41,True,False
197,-465.950000000002,500,False,False
198,111.75,7,True,False
199,20.850000000000122,109,True,False
200,-122.05000000000001,42,False,True
201,87.35,27,True,False
202,97.45,20,True,False
203,-103.65,25,False,True
204,78.65,45,True,False
205,-106.15,36,False,True
206,-114.65,50,False,True
207,-93.65,20,False,True
208,97.65,16,True,False
209,31.35000000000008,94,True,False
210,-475.7000000000023,500,False,False
211,-444.5000000000022,500,False,False
212,-464.0000000000025,500,False,False
213,103.75,11,True,False
214,101.65,14,True,False
215,-475.7000000000022,500,False,False
216,-114.44999999999999,46,False,True
217,-428.9000000000021,500,False,False
218,99.25,23,True,False
219,99.75,13,True,False
220,-419.1500000000022,500,False,False
221,103.55,15,True,False
222,78.85,41,True,False
223,85.55,24,True,False
224,87.25,29,True,False
225,-411.3500000000025,500,False,False
226,-464.00000000000205,500,False,False
227,-467.9000000000024,500,False,False
228,-95.85,25,False,True
229,-122.24999999999997,46,False,True
230,-85.44999999999999,12,False,True
231,-510.80000000000166,500,False,False
232,74.45,51,True,False
233,-452.30000000000234,500,False,False
234,-475.7000000000022,500,False,False
235,-109.95,34,False,True
236,-458.1500000000022,500,False,False
237,-105.75,28,False,True
238,-95.75,23,False,True
239,-428.9000000000024,500,False,False
240,-187.94999999999985,112,False,True
241,-129.74999999999997,40,False,True
242,-479.6000000000019,500,False,False
243,-477.6500000000022,500,False,False
244,-114.64999999999998,50,False,True
245,-15.849999999999895,141,True,False
246,-150.94999999999993,74,False,True
247,3.3500000000002075,147,True,False
248,-495.2000000000019,500,False,False
249,92.54999999999998,40,True,False
250,107.75,9,True,False
251,-456.2000000000019,500,False,False
252,101.45,18,True,False
253,-151.64999999999992,88,False,True
254,-127.54999999999998,35,False,True
255,66.65,51,True,False
256,-460.1000000000023,500,False,False
257,93.75,16,True,False
258,-98.05000000000001,30,False,True
259,-452.3000000000017,500,False,False
260,-387.95000000000175,500,False,False
261,-172.0499999999999,106,False,True
262,-444.50000000000216,500,False,False
263,105.75,10,True,False
264,74.55000000000001,49,True,False
265,78.65,45,True,False
266,-405.5000000000018,500,False,False
267,101.65,14,True,False
268,85.35,28,True,False
269,-469.8500000000022,500,False,False
270,-491.30000000000183,500,False,False
271,-446.45000000000226,500,False,False
272,-487.4000000000022,500,False,False
273,101.65,14,True,False
274,-454.25000000000193,500,False,False
275,113.75,6,True,False
276,-119.44999999999999,29,False,True
277,-483.5000000000022,500,False,False
278,-460.10000000000207,500,False,False
279,-504.950000000002,500,False,False
280,-452.30000000000246,500,False,False
281,93.75,16,True,False
282,74.45,51,True,False
283,-456.20000000000215,500,False,False
284,87.45,25,True,False
285,-413.30000000000194,500,False,False
286,93.35,24,True,False
287,-495.2000000000021,500,False,False
288,-491.300000000002,500,False,False
289,107.65,11,True,False
290,89.45,24,True,False
291,-89.55,16,False,True
292,-514.700000000002,500,False,False
293,-452.30000000000234,500,False,False
294,-467.90000000000214,500,False,False
295,-467.90000000000214,500,False,False
296,-442.5500000000019,500,False,False
297,-456.2000000000021,500,False,False
298,-477.6500000000016,500,False,False
299,91.45,23,True,False
300,71.25000000000001,37,True,False
301,-479.6000000000021,500,False,False
302,83.15,33,True,False
303,85.44999999999999,26,True,False
304,-81.25,6,False,True
305,5.85000000000008,97,True,False
306,30.45000000000003,73,True,False
307,-499.100000000002,500,False,False
308,-487.4000000000022,500,False,False
309,-514.7000000000021,500,False,False
310,107.75,9,True,False
311,107.65,11,True,False
312,92.94999999999999,32,True,False
313,58.45000000000003,59,True,False
314,84.64999999999999,42,True,False
315,105.25,20,True,False
316,44.35000000000004,68,True,False
